QuoteNumber,QuoteConversion_Flag
3,0.0
5,0.3244840245522649
7,0.0
9,0.0
10,0.34635207021927844
11,0.41280488089661904
15,0.0
16,0.20589468010669318
17,0.21769954098465338
21,0.6681101929860528
23,0.0
24,1.0
27,0.6753352867763883
31,0.6291712202327954
33,0.27794390864766677
34,0.0
36,0.0
39,0.29139039347112733
42,0.6874552611818435
43,0.0
46,0.0
48,0.0
49,1.0
52,0.0
54,0.29256572246588186
55,0.2906009521957337
56,0.0
58,0.6142948312619831
60,0.26276926244059506
61,0.5130966198227532
63,0.0
67,1.0
68,0.6274456490907283
69,0.3022708452043643
75,0.6811022689630023
81,0.0
82,0.0
98,0.3725186537730116
100,0.0
107,0.5634763152965685
108,0.0
110,0.22121407445062952
113,0.4546139813462875
115,0.595090531588836
116,0.0
119,0.6344843441575241
120,0.0
122,1.0
125,0.3395262905988714
130,0.21945539860040186
132,0.6655714278397481
135,0.32936701729834733
137,0.0
138,0.29560014122301487
144,0.32837562943790954
145,0.0
146,0.4112513121381003
150,0.0
155,0.0
158,1.0
159,0.0
160,0.6837147345718606
162,0.679896986082381
163,0.0
164,1.0
165,0.45505386960640576
168,1.0
172,0.34787458602664034
173,0.2870557105192358
174,0.0
175,0.0
176,1.0
178,0.24613665809884025
181,0.0
183,0.0
190,1.0
198,0.0
200,0.5984565877267003
201,1.0
204,1.0
205,0.3399112655300249
207,0.4012243956930205
210,1.0
211,0.3072715233796865
213,0.0
215,0.0
218,0.37659252596727266
222,0.0
223,0.6816541764280912
227,0.0
228,1.0
231,1.0
238,0.34552160908542295
241,0.0
245,0.32158269541801227
253,0.0
257,0.0
263,0.6498499588044427
264,0.37087703825857005
265,0.0
274,0.4082259246430363
275,0.30659016793748545
276,0.0
279,0.1856649905241422
280,0.0
282,0.0
283,1.0
285,0.2715930009038786
289,0.0
290,0.0
292,0.0
294,0.28710716505787726
301,0.0
304,0.0
307,0.353171805075388
309,1.0
310,1.0
311,0.0
312,0.6043213643020376
314,0.0
316,0.0
318,0.26507761707154287
321,0.22061928193096567
326,0.23619996752396166
330,0.2670834696298112
331,0.24660098897993876
332,0.0
333,0.0
337,1.0
338,1.0
339,0.0
340,0.36634187975372345
344,0.6684346732157819
346,0.29047522388731656
348,0.31643788789213445
349,0.0
350,1.0
351,0.0
352,0.47205227363963476
355,0.0
358,1.0
361,1.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.3578605129600571
368,0.0
371,0.0
374,1.0
378,0.0
380,0.6262825411504945
382,0.0
385,0.6269506456203982
390,0.0
393,1.0
401,0.667131368133905
402,0.0
403,1.0
407,0.6577388424080162
408,1.0
409,0.5537941485775715
410,0.34853233421629737
412,0.0
416,0.19576514487245067
424,0.22534788301485784
425,0.7234412015097739
427,0.504969819872049
430,0.0
438,1.0
439,1.0
441,1.0
447,1.0
449,0.0
452,0.18926174878553173
453,0.0
457,0.30693225442176014
464,0.1831048741030542
465,1.0
467,0.0
468,0.0
469,0.2759857576199296
470,1.0
473,0.0
474,1.0
475,0.0
476,0.2591170430651566
479,0.6962244282241031
480,0.0
481,0.6044150611262755
484,1.0
487,0.0
494,0.0
495,0.213189021413958
496,0.2908491848012102
498,0.22971973097212128
500,0.6454541890396363
504,0.5732160276162559
505,0.5870414227537093
512,0.7304929051719171
513,1.0
516,0.0
519,0.614681429081994
525,0.0
527,0.0
530,0.0
532,0.6609232447223298
536,0.5998378418505793
539,0.0
541,1.0
542,1.0
543,0.31348937938171334
544,1.0
547,0.0
551,0.28906399126080745
552,0.6100678668418844
555,0.0
557,0.265997913063092
563,1.0
568,0.0
569,1.0
571,0.0
574,0.32094706873823503
575,1.0
580,0.0
581,0.6924059788900044
595,0.6247523163156805
598,0.5799410428254043
599,0.7665213893078475
600,0.0
602,0.7390284375028953
603,0.0
609,0.31592703363802105
611,0.0
614,1.0
615,0.0
620,0.0
624,0.5818055078312899
625,0.814973361320406
628,0.31609823506720597
633,0.21561742804253328
640,0.3420110840687963
642,0.6874143552088109
646,0.0
648,0.0
652,1.0
656,0.5987452497942721
657,0.0
658,0.6994657638694796
659,0.0
663,0.0
664,1.0
668,0.0
669,0.0
671,0.6468134657104827
673,1.0
675,0.6933085353002454
677,0.0
684,0.20082236333743128
686,0.2625928342848596
687,0.2882584313984112
691,0.0
693,1.0
694,0.0
695,0.30698057103237975
696,0.2983479313123783
699,0.7078460795103901
701,0.0
702,0.3195160317573001
703,0.31862629892629546
705,0.0
706,0.24819195197006078
710,0.0
711,0.33313719099732864
713,0.0
717,1.0
718,0.6330518214839584
720,0.0
721,0.19584657258289648
725,0.273083544295812
726,0.0
729,0.0
733,0.6660506272736305
739,0.0
740,0.0
744,0.0
745,0.3217156240989329
750,0.0
753,0.0
754,0.7304526698030448
758,0.6871545670195814
759,0.29301318360871975
762,1.0
764,1.0
767,0.0
769,1.0
773,0.3122940765636674
774,0.3125711123622151
777,0.0
778,0.6200337389291029
779,0.7194081448332054
785,0.3355022415824942
789,0.0
790,0.6246407772326852
791,0.0
793,0.0
794,1.0
797,0.2971307955601398
798,1.0
799,0.3216232924955561
800,0.27051389053428704
801,0.6724567473848757
807,1.0
808,0.0
814,0.0
815,0.6834653385617848
816,1.0
817,0.6819986416881587
819,0.0
821,0.3425646715676821
822,0.7443798189270453
823,0.31346357141578923
829,0.7086016679749662
833,0.26809744774820515
834,0.0
836,1.0
837,0.0
842,0.5807534478521965
843,0.0
846,0.2518866805395303
847,0.5743012886530691
854,0.0
855,1.0
857,0.633886531292017
859,0.7035700753133853
860,1.0
861,0.0
862,0.25483187137460156
867,0.0
868,0.0
870,0.7121951554247133
872,0.0
875,0.0
878,0.29788411025748857
879,0.0
881,0.7635574760353716
882,0.0
883,0.2760045464072167
884,0.5710489699627663
885,0.3776735031784454
886,0.3568601133873843
890,0.0
891,0.0
898,0.29556596399275314
899,0.6333065518892917
900,1.0
902,0.6481702446781915
903,0.3577473801723555
905,0.0
906,0.3075736969365757
913,0.27458055545134574
915,1.0
918,0.0
923,0.0
926,0.0
928,0.6440639936786425
929,0.2171282975139245
930,0.0
933,0.0
936,0.6639786403642649
938,0.6908750241981307
944,1.0
949,1.0
953,1.0
954,0.0
955,0.6439705364916601
956,1.0
957,0.0
960,0.27415923859050007
963,0.6358005525488147
964,0.6528045144652023
966,0.0
967,0.0
